"subject" "condition" "item" "variable" "value"
"8576" 1 "d" 4 "TRC" NA
"8577" 1 "d" 4 "TRC" 2
"8578" 1 "d" 4 "TRC" NA
"8579" 1 "d" 4 "TRC" NA
"8580" 1 "d" 4 "TRC" NA
"8581" 1 "b" 6 "TRC" 0
"8582" 1 "b" 6 "TRC" 0
"8583" 1 "b" 6 "TRC" 0
"8584" 1 "b" 6 "TRC" 1
"8585" 1 "b" 6 "TRC" 2
"8586" 1 "b" 6 "TRC" 1
"8587" 1 "b" 6 "TRC" 0
"8588" 1 "b" 6 "TRC" 1
"8589" 1 "b" 6 "TRC" 0
"8590" 1 "b" 6 "TRC" NA
"8591" 1 "b" 6 "TRC" 2
"8592" 1 "b" 6 "TRC" NA
"8593" 1 "b" 14 "TRC" 0
"8594" 1 "b" 14 "TRC" 1
"8595" 1 "b" 14 "TRC" 0
"8596" 1 "b" 14 "TRC" 1
"8597" 1 "b" 14 "TRC" 2
"8598" 1 "b" 14 "TRC" 2
"8599" 1 "b" 14 "TRC" 0
"8600" 1 "b" 14 "TRC" 6
"8601" 1 "b" 14 "TRC" 1
"8602" 1 "b" 14 "TRC" NA
"8603" 1 "b" 14 "TRC" NA
"8604" 1 "b" 14 "TRC" NA
"8605" 2 "a" 16 "TRC" 0
"8606" 2 "a" 16 "TRC" 1
"8607" 2 "a" 16 "TRC" 1
"8608" 2 "a" 16 "TRC" 1
"8609" 2 "a" 16 "TRC" 2
"8610" 2 "a" 16 "TRC" 1
"8611" 2 "a" 16 "TRC" 2
"8612" 2 "a" 16 "TRC" 1
"8613" 2 "a" 16 "TRC" 1
"8614" 2 "a" 16 "TRC" 1
"8615" 2 "a" 16 "TRC" NA
"8616" 2 "a" 16 "TRC" NA
"8617" 2 "c" 6 "TRC" 0
"8618" 2 "c" 6 "TRC" 1
"8619" 2 "c" 6 "TRC" 1
"8620" 2 "c" 6 "TRC" 1
"8621" 2 "c" 6 "TRC" 1
"8622" 2 "c" 6 "TRC" 2
"8623" 2 "c" 6 "TRC" 1
"8624" 2 "c" 6 "TRC" 1
"8625" 2 "c" 6 "TRC" 1
"8626" 2 "c" 6 "TRC" 1
"8627" 2 "c" 6 "TRC" NA
"8628" 2 "c" 6 "TRC" NA
"8629" 2 "b" 5 "TRC" 0
"8630" 2 "b" 5 "TRC" 0
"8631" 2 "b" 5 "TRC" 2
"8632" 2 "b" 5 "TRC" 2
"8633" 2 "b" 5 "TRC" 0
"8634" 2 "b" 5 "TRC" 0
"8635" 2 "b" 5 "TRC" 1
"8636" 2 "b" 5 "TRC" 1
"8637" 2 "b" 5 "TRC" 1
"8638" 2 "b" 5 "TRC" 0
"8639" 2 "b" 5 "TRC" 1
"8640" 2 "b" 5 "TRC" NA
"8641" 2 "c" 2 "TRC" 0
"8642" 2 "c" 2 "TRC" 0
"8643" 2 "c" 2 "TRC" 3
"8644" 2 "c" 2 "TRC" 1
"8645" 2 "c" 2 "TRC" 3
"8646" 2 "c" 2 "TRC" 0
"8647" 2 "c" 2 "TRC" 1
"8648" 2 "c" 2 "TRC" NA
"8649" 2 "c" 2 "TRC" 2
"8650" 2 "c" 2 "TRC" NA
